Id,Compagnie/Airline,Code IATA/  IATA code,Code OACI/  ICAO code,Pays/Country,Website,Remarques/Remarks
132.0,AIR FOYLE HEAVYLIFT,,ADB,Grande Bretagne/U.K.,,A cessé les opérations le 30 juin 2006/Ceased operations on 30 June 2006
133.0,AIR FRANCE,AF,AFR,France,www.airfrance.com,
135.0,AIR GABON,GN,AGN,Gabon,,A cessé les opérations en mars 2006/Ceased operations in March 2006
136.0,AIR GEORGIAN,ZX,GGN,Canada,www.airgeorgian.ca,
138.0,AIR GREECE,JG,AGL,Grèce/Greece,,Fusionna avec Aegean Airlines en 2000/Merged with Aegean Airlines in 2000
139.0,AIR GREENLAND,GL,GRL,Groenland/Greenland,www.airgreenland.com,
140.0,AIR GUINEE EXPRESS,2U,GIP,Guinée/Guinea,,
142.0,AIR GUYANE EXPRESS,3S,GUY,Guyane Française/French Guiana,www.airguyane.com,
144.0,AIR HOKKAIDO,,ADK,Japon/Japan,,A cessé les opérations le mars 2006/Ceased operations on 31 March 2006
145.0,AIR HONG KONG,LD,AHK,Chine/China,www.airhongkong.com.hk,
146.0,AIR INDIA,AI,AIC,Inde/India,www.airindia.com,
148.0,AIR INDIA EXPRESS,IX,AXB,Inde/India,www.airindiaexpress.in,
150.0,AIR INUIT,3H,AIE,Canada,www.airinuit.com,
152.0,AIR JAMAICA,JM,AJM,Jamaïque/Jamaica,www.airjamaica.com,
153.0,AIR JAMAICA EXPRESS,JQ,JMX,Jamaïque/Jamaica,,Fin des opérations : 14 octobre 2005 / Date of end of operations : 14 October 2005
154.0,AIR JAPAN,NQ,AJX,Japon/Japan,www.air-japan.co.jp,
156.0,AIR KIRIBATI,4A,AKL,Karibati,,
157.0,AIR KORYO,JS,KOR,Corée du Nord/North Korea,www.korea-dpr.com/airkoryo.htm,
158.0,AIR LABRADOR,WJ,LAL,Canada,www.airlabrador.com,
159.0,AIR LANKA,UL,ALK,Sri Lanka,,Rebaptisée Sri Lankan en 1999 / Renamed Sri Lankan in 1999
161.0,AIR LIBERTE,IJ,LIB,France,,Fusionna en 2001 avec AOM pour former Air Lib/Merged with AOM in 2001 to form Air Lib
162.0,AIR LIBERTE TUNISIE,BJ,LBT,Tunisie/Tunisia,,Rebaptisée Nouvelair fin 1995 / Renamed Nouvelair at the end of 1995
166.0,AIR LITHUANIA,TT,KLA,Lithuanie/Lithuania,www.airlithuania.lt,Fin des opérations : 2005 / Date of end of operations : 2005
167.0,AIR MACAU,NX,AMU,Chine/China,www.airmacau.com.mo,
168.0,AIR MADAGASCAR,MD,MDG,Madagascar,www.airmadagascar.com,
169.0,AIR MADEIRA,MM,MMZ,Portugal,,Rebaptisée Air Luxor en 1999 / Renamed Air Luxor in 1999
170.0,AIR MADRID,NM,DRI,Espagne/Spain,,A cessé les opérations le 15 décembre 2006/Ceased operations on 15 December 2006
171.0,AIR MALAWI,QM,AML,Malawi,www.airmalawi.com,
172.0,AIR MALTA,KM,AMC,Malte/Malta,www.airmalta.com,
173.0,AIR MANDALAY,6T,AMY,Myanmar,www.airmandalay.com,
174.0,AIR MARSHALL ISLANDS,CW,CWM,Iles Marshall/Marshall Islands,www.airmarshallislands.com,
176.0,AIR MAURITANIE,MR,MRT,Mauritanie,www.airmauritanie.mr,
177.0,AIR MAURITIUS,MK,MAU,Iles Maurice/Mauritius,www.airmauricius.com,
179.0,AIR MEMPHIS,M1,MHS,Egypte/Egypt,www.airmemphis.com,
180.0,AIR MIDWEST,ZV,AMW,USA,,Fin des opérations : 30 juin 2008 / Date of end of operations : 30 June 2008
181.0,AIR NAMIBIA,SW,NMB,Namibie/Namibia,www.airnamibia.com.na,
184.0,AIR NEPAL INTERNATIONAL,SZ,NPL,Népal/Nepal,,A cessé les opérations en mars 2006/Ceased operations in March 2006.
185.0,AIR NEW ZEALAND,NZ,ANZ,Nouvelle Zélande/New Zealand,www.airnz.co.nz,
186.0,AIR NEXT,7A,NXA,Japon/Japan,www.airnext.ana-g.com,
